target,help,symps
обморок,"1. Если дыхательные пути свободны, пострадавший дышит и у него прощупывается пульс (слабый и редкий), его необходимо уложить на спину и приподнять ноги. 
2. Расстегнуть сдавливающие части одежды, такие как воротник и пояс. 
3. Положить на лоб пострадавшего мокрое полотенце, либо смочить его лицо холодной водой. Это приведет к сужению сосудов и улучшит кровоснабжение мозга. 
4. При рвоте пострадавшего необходимо перевести в безопасное положение или хотя бы повернуть голову набок, чтобы он не захлебнулся рвотными массами. 
5 Нужно помнить, что обморок может быть проявлением тяжелого, в том числе острого заболевания, требующего экстренной помощи. Поэтому пострадавший всегда нуждается в осмотре его врачом.
6. Не следует торопиться поднимать пострадавшего после того, как к нему вернулось сознание. Если условия позволяют, пострадавшего можно напоить горячим чаем, после чего
помочь приподняться и сесть. Если пострадавший опять чувствует обморочное состояние, его необходимо уложить на спину и приподнять ноги.
7. Если пострадавший находится без сознания несколько минут, скорее всего, это не обморок и необходима квалифицированная медицинская помощь.","упал, упала, без сознания, холодный, испарина, упала в обморок, упал в обморок, не просыпается, не реагирует, грохнулся, внезапно потеряла сознание, потерял сознание, резко уснул, не отвечает"
ушиб,"1. Если есть подозрение на то, что в результате ушиба повреждены внутренние органы, необходимо позаботиться о приоритетах оказания первой помощи: ДП-Д-ЦК. 
2. Приложить холод к ушибленному месту на 15–20 минут, а затем на область ушиба наложить повязку, причем забинтовать надо достаточно туго. Цель такой повязки — сдавить ткани и ограничить распространение кровоизлияния. Поверх повязки снова приложить холод и продержать его еще 1,5–2 часа. 
3. Через 2–3 дня после ушиба надо применять тепло, чтобы ускорить рассасывание излившейся крови (согревающие компрессы, местные теплые ванны).","удар, боль, болит, ударилась, ударился, опухло, опух, припухлость, отек, синяк, ушиб, ушиблась, ушибся, споткнулся, споткнулась, ударили, упал, упала, сильная боль"
растяжение,"1. Приложить холод к поврежденному месту, затем наложить тугую повязку. Можно использовать эластичный бинт. 
2. Обеспечить полный покой и холод в течение 2 дней, после чего применять тепло (согревающие компрессы, местные теплые ванны). 
3. Профилактика повторного растяжения — массаж, лечебная гимнастика. 
4. При подозрении на разрыв, а также, если боль и отек не проходят — обратиться к врачу.","болит, боль, резкая боль, растянула, растянул, растяжение, потянул, потянула, связки, мыщцы, рука, нога, галик, голеностоп, голень, бедро, колено"
Вывих,"1. Зафиксировать вывихнутую конечность в том положении, которое она приняла после травмы. 
2. Принять противошоковые меры.
3. Приложить холод к поврежденному месту.
4. Если возможно поднять поврежденную часть тела, например, если произошел вывих
пальцев руки или ноги.
5. Вызвать скорую помощь.
6. Не разрешать пострадавшему пить или есть.
7. Ни в коем случае не пытаться самостоятельно вправить вывих.","боль в суставе, боль, болит, больно шевелить, выпирает кость, впадина, вывих, сильная боль, вывихнула, вывихнул, вывихнули, рука, нога, кисть, галик, голеностоп, колено, бедро, голень"
кровотечение из носа,"1. Усадить пострадавшего с наклоном вперед. В этом случае кровь не будет затекать в ротовую полость, и создавать угрозу дыхательным путям. 
2. Попросить пострадавшего дышать через рот и зажать нос в области хрящей. 
3. Попросить пострадавшего не говорить, не глотать, не кашлять, не плевать, не шмыгать носом. 
4. Дать пострадавшему чистый платок или кусок чистой ткани. 
5. Через 10 минут разжать нос, если кровотечение продолжается, зажать снова. 
Если кровотечение продолжается более 30 минут, доставить пострадавшего в больницу в вышеуказанной позе. 
Если кровотечение остановилось, оставить пострадавшего в наклоненной вперед позе и очистить лицо от крови. Посоветовать пострадавшему, отдохнуть некоторое время, не сморкаться и не напрягаться физически, чтобы кровотечение не возобновилось вновь.","кровь из носа, нос, оставновить кровь, идет кровь, кровотечение, ударили, поцарапал ногтем, поцарапала ногтем, поцарапала пальцем, поцарапал пальцем, подскочило давление, упало давление, давление
"
перелом кисти руки и пальцев,"Если перелом закрытый:
1. зафиксировать руку поднимающей повязкой. Но, прежде чем фиксировать руку, необходимо положить на ладонь подушечку (можно неразвернутый бинт), на плечо — свернутую в несколько слоев косыночную повязку или любую другую ткань, на эту ткань положить поврежденную руку и зафиксировать ее в приподнятом положении. 
2. Привязать руку к туловищу. При отсутствии перевязочных материалов можно использовать одежду на пуговицах —аккуратно поместив поврежденную руку в соответствующее пространство меж пуговицами.

Если перелом открытый:
1)Остановите кровотечение. Прижмите рану стерильным бинтом, чистой тканью или чистым куском одежды. 
2)Обездвижьте поврежденный участок. Не пытайтесь выровнять кость или вдавить торчащую кость обратно. Если вас обучали, как расщеплять, а профессиональная помощь недоступна, наложите шину на область выше и ниже места перелома. Наложение шины может помочь уменьшить дискомфорт. 
3)Приложите пакеты со льдом, чтобы уменьшить отек и облегчить боль. Не прикладывайте лед непосредственно к коже. Заверните лед в полотенце, кусок ткани или какой-либо другой материал. 
4)Обработайте от шока. Если человек чувствует слабость или дышит короткими, учащенными вдохами, уложите его так, чтобы голова была немного ниже туловища, и, по возможности, поднимите ноги. 
5) Вызовите скорую помощь или самостоятельно доставьте пострадавшего в травмпункт.","сильная боль, синяк, опух, опухлость, резкая боль, не могу шевелить, не может шевелить, хруст, рука, палец, пальцы, сломал, сломала, сломали, закрытый перелом, открытый перелом, боль, болит, упал, упала, споткнулась, споткнулся, ударилась, ударился, ударили"
перелом нижний конечностей,"Если перелом открытый: 
1. Вызвать скорую помощь.
2. необходимо остановить кровотечение. В этом случае повязка накладывается таким же образом, как при наличии в ране инородного предмета. 
3. Зафиксировать поврежденную конечность, используя для этого подручные средства —пальто, портфели, одеяло и т. д. Для того чтобы зафиксировать поврежденную конечность, необходимо отодвинуть здоровую ногу, поврежденную обернуть с боков одеялом, пальто, либо подставить портфели или какиенибудь другие предметы, а затем придвинуть здоровую ногу к поврежденной, чтобы придавить предметы, используемые для фиксации. (Помним, что грубо ворочая ломаной ногой, легко загоним клиента в шоковое состояние, работаем аккуратно). Если повреждена стопа, то очень быстро образуется опухоль, которая прощупывается сквозь обувь. После образования опухоли обувь необходимо снять, затем отодвинуть здоровую ногу, осторожно поднять поврежденную, подложить что-нибудь под нее, зафиксировать в этом положении, а затем пододвинуть здоровую ногу, приподнять ее и положить рядом с поврежденной. Вообще при переломах нижних конечностей обувь с поврежденной ноги лучше снять сразу — до развития отека. 
4. Принять противошоковые меры. При переломах ноги пострадавший всегда должен лежать, пока вы оказываете ему помощь. Это позволяет уменьшить шок, который может быть у пострадавшего. 

Если перелом закрытый:
1. вызвать скорую помощь.
2. обеспечить полный покой для конечности.
3 приложить рядом с областью травмы (но не на нее) холод (компресс со льдом, обернутым в полотенце), не касаясь открытых участков кожи.
4. если транспортировать пострадавшего придется самостоятельно – провести иммобилизацию закрытого перелома с помощью повязки и твердого длинного предмета (например, палки);
можно также привязать больную ногу к целой, а больную руку – к телу.","сильная боль, синяк, опух, опухлость, резкая боль, не могу шевелить, не может шевелить, хруст, нога, колено, бедро, ноги, палец на ноге, пальцы на ноге, сломал, сломала, сломали, закрытый перелом, открытый перелом, боль, болит"
ожог,"1. Охладить обожженный участок водой, чтобы не дать жару ожога распространиться в разные стороны и вглубь тканей. (Не забыли о том, что сначала нужно обеспечить банальную безопасность себе и клиенту?) Охлаждение также поможет облегчить боль, уменьшить вероятность развития шока. При термических ожогах охлаждать 10 минут. При химических ожогах — 20 минут. Слишком серьезные ожоги надо охлаждать сразу же, еще до начала сердечно-легочной реанимации. 
2. Если у пострадавшего нет дыхания или пульса, приступить к сердечно- легочной реанимации. Если пострадавший без сознания, но дышит — перевести его в безопасное положение. 
3. Снять любую узкую одежду, а также часы, браслеты, пояса, ожерелья иди кольца, иначе от них будет намного труднее и болезненнее избавиться, когда разовьется отек. 
4. Покрыть ожог перевязочным материалом или неиспользованным ранее пластиковым пакетом. 
5. Никогда не снимать одежду, которая прилипла к кожным покровам. При необходимости срезать не прилипшую одежду вокруг обожженного участка, но не стягивать ее, поскольку можно легко причинить большие повреждения и травмировать обожженную плоть. 
6. Не вскрывать никаких волдырей, не отслаивать кожу. В противном случае возможно инфицирование в месте ожога и образование шрамов при заживлении. 
7. Не применять никаких масел, мазей и лосьонов. (Замучаетесь потом рану чистить) 
8. Не накладывать никаких лейкопластырей на место ожога: сдирая пластырь, можно отслоить кожу. 
9. Принять противошоковые меры. Пострадавшего с ожогами госпитализируют: - при ожогах 3–4 степени; - при ожогах 2 степени, если их площадь более 9 %; - при химических, лучевых, световых, фосфорных и электрических ожогах; - при ожогах глаз (включая вспышку и электрическую дугу); - при ожогах (обваривании) полости рта и горла. Пострадавшие от ожогов должны обратиться к врачу: - при ожогах 2 степени, если их площадь более 1 %, но менее 9 %.","покраснение, жжение, опухлость, боль, ожог, прижег, прижгла, прижгли, обожглась, обжегся, кипяток, масло, обгорел на солнце, обгорела на солнце"
тепловой удар,"1. Постараться найти прохладное, обдуваемое ветром место, положить туда пострадавшего, снять с него верхнюю одежду. 
2. Завернуть пострадавшего в холодную, мокрую простыню и постоянно поливать ее холодной водой, при этом обмахивая ее как можно больше. 
3. Продолжать охлаждать пострадавшего до тех пор, пока кожа не станет прохладной, а температура тела не упадет до 38 С. 
4.Необходимо помнить, что температура может подняться второй раз, и при необходимости быть готовым повторить действия, описанные в пунктах 1–3. 
5. Если пострадавший находится в бессознательном состоянии, но дышит, его необходимо перевести в безопасное положение. 
6. Контролировать дыхание и пульс и быть в готовности приступить к сердечно-легочной реанимации. 
7. Вызвать скорую помощь. Пострадавших от теплового удара с температурой тела выше 4 °C, как правило, госпитализируют.","повышенная температура, головная боль, тошнит, тошнота, усталость, озноб, пот, потеет, потею, болит голова, кружится голова, покраснел, покраснела, одышка"
отморожение,"1. Переместить пострадавшего в теплое место и постепенно согревать обмороженную часть тела, предварительно сняв стесняющую одежду и украшения (обычное обручальное колечко может вызвать дополнительный некроз пальца, например) 
2. При поверхностном отморожении (отморожении 1 степени) можно осторожно растирать пораженное место ладонью или чистой мягкой тканью до появления покраснения. 
3. При более серьезном отморожении лучшим согревающим средством является теплая вода (37–42 С). За исключением наиболее тяжких случаев. В отмороженной части тела нормальный цвет, и чувствительность восстанавливаются через 20–30 минут с начала применения теплой воды. 
4. Наложить на пораженную область сухую стерильную повязку, при отморожении пальцев рук и ног необходимо проложить между ними вату или марлю. 
5. Пострадавшему можно дать теплое питье, желательно без кофеина, так как он нарушает кровообращение. 
6. Вызвать скорую помощь или доставить пострадавшего в лечебное заведение. Оказывая помощь при отморожении, недопустимо:
- отогревать отмороженное место слишком быстро — это может причинить боль;
- растирать отмороженное место снегом или льдом, так как при этом усиливается охлаждение и, кроме того, можно повредить кожу и внести инфекцию;
- погружать все тело пострадавшего в воду, что может привести к проблемам с дыханием и сердцем;
- давать пострадавшему алкоголь, так как он отрицательно влияет на кровообращение;
- позволять пострадавшему курить. Это тоже уменьшает приток крови.
- вскрывать волдыри, так как нарушение целости кожи может привести к инфекции;
- отогревать отмороженное место в том случае, если есть опасность того, что эта
часть тела вновь замерзнет. Лучше оставить ткань замерзшей однажды, чем замораживать и размораживать одно и то же место несколько раз. Это может привести к гораздо более серьезным повреждениям. В такой ситуации отмороженную часть тела следует укутать чем-нибудь мягким и при первой возможности приступить к отогреванию.","бледная кожа, отечность, снижение чувствительности, обморожение, отморожение, отморозила, отморозил, побледнела, посинела, не чувствую, зуд, чешется, колет, колется, покалывание, волдыри, отек, опух, опухла, нога, рука, пальцы, пальцы на ногах, не чувствует"
